Borrower ID,LoanType,Total Loan Amt,Mth1 paysts (May),Mth2 paysts (Apr),Mth3 paysts (Mar),Mth4 paysts (Feb),Mth5 paysts (Jan),Mth6 paysts (Dec 17),Mth7 paysts (Nov 17),Mth8 paysts (Oct 17),Mth9 paysts (Sep 17),Mth10 paysts (Aug 17),Mth11 paysts (Jul17),Mth12 paysts (Jun 17),obn,Loan Principal Amt,Loan Type,Is MECB member,Is MLCB member
2375,UNSECURED,281.27,-,-,-,-,-,-,-,-,-,CL,30,OK,MAIN BORROWER,900,Personal - Pay Day,False,False
3943,UNSECURED,207.7,-,CL,OK,OK,-,-,-,-,-,-,-,-,MAIN BORROWER,900,Personal - Pay Day,True,True
466,UNSECURED,520.0,CL,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,True,False
1053,UNSECURED,529.56,OK,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
59,UNSECURED,799.03,CL,OK,-,OK,OK,OK,OK,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,False,False
2196,SECURED,511967.12,-,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,False,False
1929,SECURED,102340.82,-,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,198937.87,Personal - Pay Day,False,False
3215,UNSECURED,799.03,CL,-,OK,OK,OK,OK,-,-,-,-,-,-,MAIN BORROWER,700,Personal - Pay Day,False,False
243,UNSECURED,1099.58,OK,OK,OK,-,-,-,-,-,-,-,-,-,MAIN BORROWER,600,Personal - Pay Day,True,True
1006,UNSECURED,500.0,CL,OK,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,True,
3339,UNSECURED,520.0,-,-,-,CL,OK,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,True,False
3180,UNSECURED,636.24,CL,OK,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,600,Personal - Pay Day,True,False
3737,UNSECURED,600.0,OK,OK,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
1076,SECURED,108430.89,90,60,30,CL,OK,OK,-,-,-,-,-,-,MAIN BORROWER,100000,Personal - Pay Day,False,False
3175,UNSECURED,326.65,-,-,-,-,-,-,-,-,-,-,-,CL,MAIN BORROWER,400,Personal - Pay Day,True,False
3075,UNSECURED,799.03,OK,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,False,False
956,UNSECURED,408.0,OK,OK,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
1539,UNSECURED,305.74,-,-,-,CL,30,OK,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,True,True
2137,SECURED,28806.91,120,120,90,30,CL,OK,OK,OK,-,-,-,-,MAIN BORROWER,317500,Personal - Pay Day,False,False
3595,UNSECURED,520.0,OK,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,800,Personal - Pay Day,True,False
941,UNSECURED,305.76,-,-,CL,OK,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
2861,UNSECURED,439.11,-,-,CL,OK,OK,OK,OK,-,-,-,-,-,MAIN BORROWER,1200,Personal - Pay Day,True,False
3147,UNSECURED,364.0,OK,OK,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,False,False
3472,UNSECURED,728.0,-,-,-,CL,OK,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,True,False
3204,UNSECURED,799.03,CL,OK,OK,OK,-,OK,-,-,-,-,-,-,MAIN BORROWER,1000,Personal - Pay Day,False,False
1352,UNSECURED,3000.0,-,-,-,CL,-,-,-,-,-,-,-,-,MAIN BORROWER,3000,Personal - Pay Day,True,True
2956,UNSECURED,572.0,-,-,-,-,-,-,-,-,-,-,-,CL,MAIN BORROWER,650,Personal - Pay Day,True,False
128,UNSECURED,847.3,-,-,CL,-,-,-,-,-,-,-,-,-,MAIN BORROWER,900,Personal - Pay Day,True,True
378,UNSECURED,520.0,-,-,-,CL,-,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,True,False
1185,UNSECURED,254.78,-,-,-,CL,30,OK,-,-,-,-,-,-,MAIN BORROWER,800,Personal - Pay Day,True,True
1110,UNSECURED,302.22,-,CL,60,30,OK,-,-,-,-,-,-,-,MAIN BORROWER,850,Personal - Pay Day,True,False
